,GRM_F30,GRM_F31,GRM_F32,GRM_F33,GRM_F34,GRM_F35,GRM_F40,GRM_F41,GRM_F42,GRM_F51,number,label
135,8,1,38,0,7,7,9,3,4,3,1014,1
136,4,4,32,0,5,5,7,5,1,3,1148,1
137,7,4,35,0,17,18,6,3,1,1,1160,1
138,1,2,4,0,1,3,1,1,1,0,1174,1
139,4,4,25,0,7,6,2,3,3,0,1175,1
140,10,9,49,1,15,12,12,13,9,1,1161,1
141,5,2,21,0,8,10,3,3,3,2,1149,1
142,3,2,31,1,5,10,9,3,1,2,1001,1
143,5,7,32,0,3,8,4,3,3,3,1015,1
144,5,2,9,0,8,4,1,1,0,1,1029,1
145,4,0,14,0,3,3,0,0,1,1,1072,1
146,11,5,44,0,14,13,13,8,4,6,1066,1
147,2,1,39,1,8,1,3,0,1,0,1099,1
148,9,10,64,2,24,22,10,10,7,7,1106,1
149,7,1,19,0,5,4,4,4,1,0,1112,1
150,6,6,52,0,13,19,11,4,2,3,1113,1
151,3,1,20,0,1,7,4,0,2,1,1107,1
152,9,3,39,1,9,14,6,3,8,4,1098,1
153,0,2,3,0,0,0,0,0,0,0,1067,1
154,0,0,3,0,2,3,0,0,0,1,1073,1
155,1,1,7,0,6,0,1,0,1,0,1065,1
156,6,3,34,0,9,12,4,4,5,0,1071,1
157,3,0,4,0,3,3,0,1,1,0,1059,1
158,3,2,13,0,1,1,2,1,1,1,1111,1
159,17,5,58,2,11,16,11,6,8,6,1105,1
160,7,2,33,0,6,10,8,3,5,1,1139,1
161,3,0,13,0,4,4,3,2,3,3,1138,1
162,11,4,36,1,5,6,10,4,0,5,1104,1
163,3,4,12,1,1,8,5,2,3,0,1110,1
164,8,2,24,1,8,8,7,2,2,4,1058,1
165,4,3,26,1,12,3,7,5,2,2,1070,1
166,4,2,27,3,8,4,5,3,1,0,1064,1
167,7,5,37,1,13,7,6,8,4,1,1048,1
168,2,3,16,0,3,2,3,2,1,0,1060,1
169,49,19,161,9,68,52,50,16,17,20,1074,1
170,6,1,16,0,4,11,7,1,2,1,1128,1
171,10,6,71,2,13,27,17,8,5,5,1114,1
172,2,3,11,0,7,3,2,0,1,2,1100,1
173,22,9,88,1,17,19,16,9,4,14,1101,1
174,19,7,63,0,34,19,9,13,11,5,1115,1
175,3,2,39,0,5,8,9,4,2,3,1129,1
176,5,2,25,0,3,8,10,2,3,6,1075,1
177,12,5,41,0,12,13,4,8,2,1,1061,1
178,15,7,59,0,14,16,15,4,5,21,1049,1
179,0,0,5,0,4,5,0,2,1,0,1077,1
180,2,1,5,0,3,0,0,1,1,0,1063,1
181,9,0,19,0,6,6,4,3,5,1,1088,1
182,7,0,35,0,6,6,5,6,1,3,1103,1
183,0,0,2,0,1,3,1,1,0,0,1117,1
184,5,4,29,0,3,8,7,6,1,2,1116,1
185,9,8,64,1,16,13,12,5,3,8,1102,1
186,1,0,2,0,1,1,1,0,0,0,1089,1
187,2,3,8,0,5,0,2,1,0,0,1062,1
188,2,4,28,0,6,8,5,4,1,1,1076,1
