,GRM_F30,GRM_F31,GRM_F32,GRM_F33,GRM_F34,GRM_F35,GRM_F40,GRM_F41,GRM_F42,GRM_F51,number,label
179,2,4,42,3,5,7,7,4,1,9,1077,0
180,8,3,32,0,5,2,10,3,1,1,1063,0
181,1,3,29,1,5,6,8,3,0,1,1088,0
182,0,0,0,0,0,0,0,0,0,0,1103,0
183,3,1,15,0,6,2,2,2,3,0,1117,0
184,31,15,90,3,42,20,5,15,13,3,1116,0
185,12,3,24,0,3,10,4,7,3,3,1102,0
186,14,2,23,0,3,6,2,3,3,0,1089,0
187,2,1,26,0,5,3,7,4,1,0,1062,0
188,3,2,22,0,2,3,2,3,1,1,1076,0
